,index,latitude,longitude
0,0,25.25,-80.75
1,1,25.75,-81.25
2,2,25.75,-80.75
3,3,25.75,-80.25
4,4,26.25,-98.75
5,5,26.25,-98.25
6,6,26.25,-97.75
7,7,26.25,-81.75
8,8,26.25,-81.25
9,9,26.25,-80.75
10,10,26.25,-80.25
11,11,26.75,-99.25
12,12,26.75,-98.75
13,13,26.75,-98.25
14,14,26.75,-97.75
15,15,26.75,-81.75
16,16,26.75,-81.25
17,17,26.75,-80.75
18,18,26.75,-80.25
19,19,27.25,-99.25
20,20,27.25,-98.75
21,21,27.25,-98.25
22,22,27.25,-97.75
23,23,27.25,-82.25
24,24,27.25,-81.75
25,25,27.25,-81.25
26,26,27.25,-80.75
27,27,27.25,-80.25
28,28,27.75,-99.75
29,29,27.75,-99.25
30,30,27.75,-98.75
31,31,27.75,-98.25
32,32,27.75,-97.75
33,33,27.75,-82.25
34,34,27.75,-81.75
35,35,27.75,-81.25
36,36,27.75,-80.75
37,37,28.25,-100.25
38,38,28.25,-99.75
39,39,28.25,-99.25
40,40,28.25,-98.75
41,41,28.25,-98.25
42,42,28.25,-97.75
43,43,28.25,-97.25
44,44,28.25,-82.75
45,45,28.25,-82.25
46,46,28.25,-81.75
47,47,28.25,-81.25
48,48,28.25,-80.75
49,49,28.75,-100.25
50,50,28.75,-99.75
51,51,28.75,-99.25
52,52,28.75,-98.75
53,53,28.75,-98.25
54,54,28.75,-97.75
55,55,28.75,-97.25
56,56,28.75,-96.75
57,57,28.75,-96.25
58,58,28.75,-82.25
59,59,28.75,-81.75
60,60,28.75,-81.25
61,61,29.25,-103.75
62,62,29.25,-103.25
63,63,29.25,-100.75
64,64,29.25,-100.25
65,65,29.25,-99.75
66,66,29.25,-99.25
67,67,29.25,-98.75
68,68,29.25,-98.25
69,69,29.25,-97.75
70,70,29.25,-97.25
71,71,29.25,-96.75
72,72,29.25,-96.25
73,73,29.25,-95.75
74,74,29.25,-95.25
75,75,29.25,-90.75
76,76,29.25,-90.25
77,77,29.25,-82.75
78,78,29.25,-82.25
79,79,29.25,-81.75
80,80,29.25,-81.25
81,81,29.75,-104.25
82,82,29.75,-103.75
83,83,29.75,-103.25
84,84,29.75,-102.75
85,85,29.75,-102.25
86,86,29.75,-101.75
87,87,29.75,-101.25
88,88,29.75,-100.75
89,89,29.75,-100.25
90,90,29.75,-99.75
91,91,29.75,-99.25
92,92,29.75,-98.75
93,93,29.75,-98.25
94,94,29.75,-97.75
95,95,29.75,-97.25
96,96,29.75,-96.75
97,97,29.75,-96.25
98,98,29.75,-95.75
99,99,29.75,-95.25
100,100,29.75,-94.75
101,101,29.75,-94.25
102,102,29.75,-93.75
103,103,29.75,-92.75
104,104,29.75,-92.25
105,105,29.75,-91.75
106,106,29.75,-91.25
107,107,29.75,-90.75
108,108,29.75,-90.25
109,109,29.75,-89.75
110,110,29.75,-83.25
111,111,29.75,-82.75
112,112,29.75,-82.25
113,113,29.75,-81.75
114,114,29.75,-81.25
115,115,30.25,-104.75
116,116,30.25,-104.25
117,117,30.25,-103.75
118,118,30.25,-103.25
119,119,30.25,-102.75
120,120,30.25,-102.25
121,121,30.25,-101.75
122,122,30.25,-101.25
123,123,30.25,-100.75
124,124,30.25,-100.25
125,125,30.25,-99.75
126,126,30.25,-99.25
127,127,30.25,-98.75
128,128,30.25,-98.25
129,129,30.25,-97.75
130,130,30.25,-97.25
131,131,30.25,-96.75
132,132,30.25,-96.25
133,133,30.25,-95.75
134,134,30.25,-95.25
135,135,30.25,-94.75
136,136,30.25,-94.25
137,137,30.25,-93.75
138,138,30.25,-93.25
139,139,30.25,-92.75
140,140,30.25,-92.25
141,141,30.25,-91.75
142,142,30.25,-91.25
143,143,30.25,-90.75
144,144,30.25,-89.75
145,145,30.25,-85.75
146,146,30.25,-85.25
147,147,30.25,-84.75
148,148,30.25,-84.25
149,149,30.25,-83.75
150,150,30.25,-83.25
151,151,30.25,-82.75
152,152,30.25,-82.25
153,153,30.25,-81.75
154,154,30.75,-105.25
155,155,30.75,-104.75
156,156,30.75,-104.25
157,157,30.75,-103.75
158,158,30.75,-103.25
159,159,30.75,-102.75
160,160,30.75,-102.25
161,161,30.75,-101.75
162,162,30.75,-101.25
163,163,30.75,-100.75
164,164,30.75,-100.25
165,165,30.75,-99.75
166,166,30.75,-99.25
167,167,30.75,-98.75
168,168,30.75,-98.25
169,169,30.75,-97.75
170,170,30.75,-97.25
171,171,30.75,-96.75
172,172,30.75,-96.25
173,173,30.75,-95.75
174,174,30.75,-95.25
175,175,30.75,-94.75
176,176,30.75,-94.25
177,177,30.75,-93.75
178,178,30.75,-93.25
179,179,30.75,-92.75
180,180,30.75,-92.25
181,181,30.75,-91.75
182,182,30.75,-91.25
183,183,30.75,-90.75
184,184,30.75,-90.25
185,185,30.75,-89.75
186,186,30.75,-89.25
187,187,30.75,-88.75
188,188,30.75,-88.25
189,189,30.75,-87.75
190,190,30.75,-87.25
191,191,30.75,-86.75
192,192,30.75,-86.25
193,193,30.75,-85.75
194,194,30.75,-85.25
195,195,30.75,-84.75
196,196,30.75,-84.25
197,197,30.75,-83.75
198,198,30.75,-83.25
199,199,30.75,-82.75
200,200,30.75,-82.25
201,201,30.75,-81.75
202,202,31.25,-110.75
203,203,31.25,-110.25
204,204,31.25,-109.75
205,205,31.25,-109.25
206,206,31.25,-108.75
207,207,31.25,-105.75
208,208,31.25,-105.25
209,209,31.25,-104.75
210,210,31.25,-104.25
211,211,31.25,-103.75
212,212,31.25,-103.25
213,213,31.25,-102.75
214,214,31.25,-102.25
215,215,31.25,-101.75
216,216,31.25,-101.25
217,217,31.25,-100.75
218,218,31.25,-100.25
219,219,31.25,-99.75
220,220,31.25,-99.25
221,221,31.25,-98.75
222,222,31.25,-98.25
223,223,31.25,-97.75
224,224,31.25,-97.25
225,225,31.25,-96.75
226,226,31.25,-96.25
227,227,31.25,-95.75
228,228,31.25,-95.25
